episode,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,collision_11,collision_12,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,reward_11,reward_12,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
37,2,6,0,3,3,0,0,0,0,0,0,0,2,-20,-40,-22.086002657047334,-40,-40,-26.393506189206697,-40,-20,-40,-24.127301018956103,-20,-20,-20,-0.18143968,0.109165765,0.09181127,0.039544214,-0.153025,0.08229849,-0.014045916,0.08406438,0.06676497,-0.0033360196,0.16584109,0.173688,0.15959452
38,0,3,0,0,0,0,0,0,0,1,0,0,2,-20,-22.42154988867178,-38.75331381735674,-40,-11.96203882194726,-40,-26.472423064274142,-40,-18.960061073381336,-40,-22.515254830888775,-20,0,0.10434683,-0.18313603,0.07260375,0.070205495,-0.050022718,-0.046669114,-0.06312138,0.015978847,0.10498955,0.15459816,-0.10677576,0.28608924,0.12608202
39,0,6,0,0,0,1,0,2,3,0,0,0,0,-22.707633308135218,-22.263234270296124,-35.42741923109661,-28.463536738195657,-40,-40,-40,-23.08077411892398,-9.947422755530157,-20,0,-40,-11.970208014753432,-0.092432015,0.090193056,-0.22094946,0.053284753,0.026071796,0.011345492,0.116929226,0.058885384,-0.052211437,-0.15481436,-0.042294435,-0.10074101,0.19634724
40,3,1,6,0,0,1,0,3,1,0,1,3,1,-20,-16.130368115452566,-31.85770621664994,-22.91282039412706,-40,-28.209742908899912,-40,-24.31856029974665,-40,-27.02269707435005,-40,-40,-35.69120371942801,0.40943828,-0.118606046,-0.013786373,0.07557502,-0.10603974,-0.11330963,0.07242732,0.17146006,-0.009164848,0.11706096,0.038437217,-0.08659172,0.017099448
41,2,3,3,0,0,2,1,2,2,0,1,0,0,-20,-20,-20,-40,-20,-31.456441761747136,-34.27371614276077,-20,-40,-27.347398533097802,-20,0,-23.3685179354154,-0.14548978,0.19632696,-0.0064732074,0.00043940544,-0.07444357,0.0058454764,0.079421,-0.046388473,-0.17490596,-0.09446944,0.11787218,-0.0010150451,-0.08520497
42,0,2,5,2,0,1,2,0,2,0,0,0,0,-40,-22.77749213618457,-7.643545924473183,-40,-20,-20,-21.67654407081357,-40,-33.37644659007106,-36.35025281113924,-20,-18.64271905233104,-40,-0.026666036,0.06719045,-0.17535564,-0.15679592,-0.0038198053,0.048562836,0.21445756,0.14785945,0.060161844,0.012648144,-0.03711975,0.1471725,-0.11379351
43,0,4,1,0,2,0,0,0,0,2,1,0,0,-40,-35.13441861879271,-2.6906617331226257,-40,-20,-33.55763924137267,-40,-40,-10.345158055607884,-20,-40,-20,-20,-0.043771774,-0.08170941,-0.22581917,0.15132384,0.04152153,-0.050796576,-0.13661374,-0.073795244,0.061930407,-0.15651098,-0.02455992,0.24336754,0.15809129
44,3,0,0,0,0,0,3,0,0,0,0,0,0,-4.325474767915995,-40,-14.119108759974536,-40,-23.66240815839167,-20,-40,-20,-26.7395813964184,-20,-20,-17.08756600040825,-20,-0.03411576,-0.03075634,-0.0942418,0.092493266,0.14694192,-0.1934156,-0.08612115,0.22016513,-0.011511457,0.16823712,-0.21658689,0.005075817,0.18746111
45,1,3,5,0,0,1,0,0,0,2,1,2,3,-40,-20,-26.038019265837534,-20,-20,-17.879271954790784,-20,-24.73275335635765,-40,-20,-32.3690552152171,-20.818340046369453,-22.936530536326554,-0.056491517,-0.025272608,-0.13982563,-0.07788357,0.0076912935,-0.018590737,0.044472326,-0.018280793,0.048213862,0.018766843,-0.046084758,0.044950813,0.049318958
46,5,0,0,0,2,0,0,0,0,0,0,3,0,-20,-25.235192207325696,-17.47427073443804,-40,-20,-6.180881745897962,-20,-24.32506044807387,0,-5.196548814015965,0,-2.576568663398523,-20,-0.023533262,-0.09968775,-0.17336275,-0.06990984,0.028348679,-0.00278076,0.2687002,0.2852906,-0.044328414,-0.023945237,-0.17942876,-0.007649988,0.03584404
47,0,0,3,0,0,0,2,0,0,0,1,0,0,-20,-0.4177990109599117,-20,-23.894863781689857,-20,-40,-40,-20,-20,-33.06105338855108,-4.277393782649777,-26.58848378936606,-20,0.09314695,-0.099279106,-0.042683903,0.038881086,0.12846042,-0.13050595,0.13931626,-0.14737527,0.09708424,0.0046201134,-0.11083013,0.13665351,-0.11698068
48,1,6,5,0,0,0,2,2,3,0,0,0,5,-20,-20,-28.135747404837243,-40,-35.266425321957186,-40,-40,-20,-23.149255912088286,-40,-26.5576857190411,-40,0,-0.042429026,0.026683174,-0.25597385,-0.22576925,-0.08876922,-0.047295526,-0.050926194,0.11144911,0.023170806,-0.0017764282,0.20834622,0.029273277,0.048449103
49,3,1,3,2,0,1,3,0,0,0,1,0,0,-20,-40,-17.910599703937077,-40,-21.814224892749873,-20,-40,-21.562992273805403,-20.074967744332223,-40,-22.00955168355432,-40,-21.16202713460026,0.18428878,0.098961994,0.15740785,-0.016614519,0.002761066,0.12839256,-0.2823095,0.122005224,-0.0021568155,-0.051847238,-0.10324133,-0.1094816,0.08038729
50,2,0,1,0,0,0,0,0,0,2,0,0,1,-20,0,-33.09168584880208,-25.829168637848504,-40,-17.11166305823819,-40,-40,-9.093698801928126,-29.698928788860872,-40,-3.883739112275025,0,0.08265391,0.014252663,-0.17656389,0.19892803,-0.018424502,-0.040919647,0.16154425,-0.2606654,-0.12674859,0.012987771,0.18786305,0.0006407571,0.034935657
51,2,0,1,0,0,1,1,0,0,0,0,1,0,-40,-25.02683252304078,-20,-40,-20,-40,-40,-20,-20,-4.880161242764951,-40,-20,-24.57163324506307,0.12987839,0.14083815,-0.12929004,-0.03409638,0.011915766,-0.14252964,0.05924525,-0.08143092,-0.08920702,-0.24547556,0.026898632,0.085940816,0.13712631
52,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-20,-40,-20,-20,-20,-40,-21.780539126623253,-20,-21.411039221688426,-20,-9.688139318974844,-5.604594901992245,0.07876232,-0.017096994,0.080182575,-0.0019531229,0.07578822,0.003954072,0.14293325,0.0699456,-0.14522387,0.012185592,0.055193998,0.026351446,0.033897065
53,0,1,3,0,0,0,0,1,0,2,0,1,0,-23.168831665235057,-9.034722629414464,-40,-26.576321923851044,-23.590917720821764,-40,-40,-20,-22.029893594288197,-20,-20,-9.474009389745218,-20,-0.036549233,-0.025932752,-0.12269865,-0.10430888,0.11032414,-0.09259882,0.123417966,-0.044879146,-0.09563228,-0.12916413,-0.18722157,-0.06178643,-0.1763218
54,0,0,1,0,0,1,0,0,0,0,0,0,0,-25.62095652194398,-21.770957433883837,-22.736634654521115,-40,-20,-20,-40,-20,-25.80805248776709,-22.505671594395317,-40,-5.791575270821495,-22.14520447014794,0.10929997,0.08316276,-0.08155747,0.24848936,-0.024966888,0.13109681,0.19299999,-0.033291582,-0.12132625,-0.16012798,-0.15868944,0.13038847,-0.09702227
55,2,7,4,0,0,1,0,1,4,0,0,3,4,-25.63316203234447,-40,-20,-25.40636233938535,-20,-4.339307975181329,-31.689294960243547,-40,-4.164949867798016,-40,-24.34599979646476,-22.515327955072387,-20,-0.14606243,-0.10589947,-0.18545714,0.006546699,0.033143345,0.016194439,0.121810324,0.045484606,0.051455095,-0.16457604,0.061529607,0.03892218,-0.20902124
56,5,0,3,0,0,0,2,2,2,0,0,0,2,-22.236534025821275,-24.287838777745556,-21.580099300139793,-40,-20,-20,-40,-40,-29.812312574873534,-3.150851185224157,-22.04980865424906,-20,-2.8988831949965608,-0.101100944,0.13049906,-0.088722594,0.17365192,-0.00118833,0.013976845,-0.027732244,0.064409845,-0.12474842,-0.17775898,0.1224746,-0.035532054,-0.26668143
